Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals
2016-01-03,Norwich,Chelsea,1,2
2016-01-03,Sunderland,Crystal Palace,2,2
2016-02-03,Arsenal,Swansea,1,2
2016-02-03,Liverpool,Man City,3,0
2016-02-03,Man United,Watford,1,0
2016-02-03,Stoke,Newcastle,1,0
2016-02-03,West Ham,Tottenham,1,0
2016-05-03,Chelsea,Stoke,1,1
2016-05-03,Everton,West Ham,2,3
2016-05-03,Man City,Aston Villa,4,0
2016-05-03,Newcastle,Bournemouth,1,3
2016-05-03,Southampton,Sunderland,1,1
2016-05-03,Swansea,Norwich,1,0
2016-05-03,Tottenham,Arsenal,2,2
2016-05-03,Watford,Leicester,0,1
2016-06-03,Crystal Palace,Liverpool,1,2
2016-06-03,West Brom,Man United,1,0
2016-12-03,Bournemouth,Swansea,3,2
2016-12-03,Norwich,Man City,0,0
2016-12-03,Stoke,Southampton,1,2
2016-03-13,Aston Villa,Tottenham,0,2
2016-03-14,Leicester,Newcastle,1,0
2016-03-19,Chelsea,West Ham,2,2
2016-03-19,Crystal Palace,Leicester,0,1
2016-03-19,Everton,Arsenal,0,2
2016-03-19,Swansea,Aston Villa,1,0
2016-03-19,Watford,Stoke,1,2
2016-03-19,West Brom,Norwich,0,1
2016-03-20,Man City,Man United,0,1
2016-03-20,Newcastle,Sunderland,1,1
2016-03-20,Southampton,Liverpool,3,2
2016-03-20,Tottenham,Bournemouth,3,0
2016-02-04,Arsenal,Watford,4,0
2016-02-04,Aston Villa,Chelsea,0,4
2016-02-04,Bournemouth,Man City,0,4
2016-02-04,Liverpool,Tottenham,1,1
2016-02-04,Norwich,Newcastle,3,2
2016-02-04,Stoke,Swansea,2,2
2016-02-04,Sunderland,West Brom,0,0
2016-02-04,West Ham,Crystal Palace,2,2
2016-03-04,Leicester,Southampton,1,0
2016-03-04,Man United,Everton,1,0
2016-09-04,Aston Villa,Bournemouth,1,2
2016-09-04,Crystal Palace,Norwich,1,0
2016-09-04,Man City,West Brom,2,1
2016-09-04,Southampton,Newcastle,3,1
2016-09-04,Swansea,Chelsea,1,0
2016-09-04,Watford,Everton,1,1
2016-09-04,West Ham,Arsenal,3,3
2016-10-04,Liverpool,Stoke,4,1
2016-10-04,Sunderland,Leicester,0,2
2016-10-04,Tottenham,Man United,3,0
2016-04-13,Crystal Palace,Everton,0,0
2016-04-16,Chelsea,Man City,0,3
2016-04-16,Everton,Southampton,1,1
2016-04-16,Man United,Aston Villa,1,0
2016-04-16,Newcastle,Swansea,3,0
2016-04-16,Norwich,Sunderland,0,3
2016-04-16,West Brom,Watford,0,1
2016-04-17,Arsenal,Crystal Palace,1,1
2016-04-17,Bournemouth,Liverpool,1,2
2016-04-17,Leicester,West Ham,2,2
